SNR_dB,Opt_small,ZF_small,RZF_small,Exhaustive_small,Opt_large+small,ZF_large+small,RZF_large+small,Exhaustive_large+small
0.000000000000000000e+00,-2.000000000000000000e+02,-4.350891885647835799e+00,-4.323947555776501694e+00,9.252141656484008436e+00,-2.000000000000000000e+02,-1.387053127816812719e+02,-1.379799761406528944e+02,-1.127483185553264775e+02
3.000000000000000000e+00,-2.000000000000000000e+02,-1.416091422719325310e+00,-1.388348175930730122e+00,1.221091323740419554e+01,-2.000000000000000000e+02,-1.356117362512479190e+02,-1.348853358596897749e+02,-1.099373648087781135e+02
6.000000000000000000e+00,-2.013462440394857822e+01,1.641338944403878397e+00,1.668214619593265224e+00,1.521640175108200665e+01,-1.565150834503173769e+02,-1.327529062754017843e+02,-1.319998959889115895e+02,-1.064717910884631067e+02
9.000000000000000000e+00,-1.740689128035447553e+01,4.592263972347177869e+00,4.619256440720568513e+00,1.825287300653317146e+01,-1.526841754760742162e+02,-1.297547251362803991e+02,-1.289993279781297701e+02,-1.037467281660911169e+02
1.200000000000000000e+01,-1.462362926214895609e+01,7.571433004000764022e+00,7.598290471058746220e+00,2.123236276854558113e+01,-1.493732010040283171e+02,-1.266865954075459229e+02,-1.259320377832309816e+02,-1.005348825783588467e+02
1.500000000000000000e+01,-1.182861901066600119e+01,1.066113572379537899e+01,1.068611007253745804e+01,2.419671942364676198e+01,-1.462122034759521512e+02,-1.235801003797833602e+02,-1.228367134086640249e+02,-9.765102563863830198e+01
1.800000000000000000e+01,-9.223500450906421122e+00,1.362670510036023863e+01,1.365132747762731746e+01,2.721635274221459966e+01,-1.433073696746826045e+02,-1.207191125490515020e+02,-1.199852849340813918e+02,-9.463986557416961887e+01
2.100000000000000000e+01,-6.894570157841370062e+00,1.657489221667599466e+01,1.659619628643797284e+01,3.021790301841069137e+01,-1.403326778259277319e+02,-1.177673682576097320e+02,-1.170397966016576135e+02,-9.180384587502085481e+01
2.400000000000000000e+01,-4.935248650739692877e+00,1.958344181299509756e+01,1.959823329610507514e+01,3.321789096081793957e+01,-1.373244204559326249e+02,-1.147378994977267865e+02,-1.140094824601644206e+02,-8.869687712876692842e+01
2.700000000000000000e+01,-3.396659727940090523e+00,2.258535199237100954e+01,2.258776666240295228e+01,3.621039305066909009e+01,-1.340590498046875041e+02,-1.114883040826992868e+02,-1.107323229225326600e+02,-8.548377693648916420e+01
3.000000000000000000e+01,-2.237778675964079866e+00,2.557262920409326767e+01,2.557214576891770719e+01,3.922826332606462074e+01,-1.313155345153808469e+02,-1.087266880450679452e+02,-1.079965207620481777e+02,-8.273563455228347152e+01
