snr_dB,opt_db,zf_db,rzf_db,ex_db
0,11.675988152249602,-3.3223144116661105,-3.3219629523258343,7.7895824590474145
3,14.284954158453637,0.16405326519612215,0.1647141758523143,10.776251343172035
6,17.67855025945999,2.768956421627187,2.770043621587024,14.052614828772928
9,20.91413294104165,1.104034205075606,1.104781163529038,17.020790978671435
12,23.524106913153474,2.7479804346366965,2.748696596143583,19.36651069795054
15,26.39129984870431,5.730267852326679,5.731550927561648,22.568240297583984
18,29.221254513984935,3.186593562877602,3.1871640388754563,25.61453601267751
21,32.03362607445434,3.56966375990962,3.569165928762754,27.81076541866898
24,35.462946747692214,6.967725137049462,6.967956624840275,32.029341728980405
27,38.1963302925666,3.278272079690174,3.2791744737166137,33.823237999632894
30,41.35667729632119,1.7680392195713943,1.7681631095101666,37.15614592030852
