snr_dB,opt_db,zf_db,rzf_db,ex_db
0,-65.62813819129494,-82.75891277668302,-82.27028289356666,-71.25260428269067
3,-63.025848137172744,-77.81903730121937,-77.89768174082029,-68.38932487419748
6,-58.94769770192758,-77.82153581968451,-76.59789368005667,-64.03719933319917
9,-55.80737797932996,-69.60312592317989,-73.21477513238602,-59.519273788613006
12,-50.129424978460094,-70.8550931473965,-69.87409899003272,-57.835549359375634
15,-45.475026342883815,-67.3531579422156,-67.41635382918386,-56.80935970393561
18,-49.95760842327796,-69.28991866678342,-71.45588990800988,-53.85223346238491
21,-44.490761946249336,-58.88122841678667,-59.43494453643349,-49.189801439243936
24,-43.82547307832287,-62.311449050804136,-63.9789576636357,-54.19734907944015
27,-37.16484584262476,-56.45364704791092,-57.486701232060966,-43.41398340654429
30,-34.95906861147704,-49.84144565139425,-48.726675891748734,-42.0048618984978
