snr_dB,opt_db,zf_db,rzf_db,ex_db
0,-64.69184277395571,-82.25653970495406,-81.93906903552217,-71.12996936485254
3,-62.26341661962589,-79.79438264512727,-79.43292000605679,-68.29261953262699
6,-58.861444432882266,-76.00280076439766,-75.79242278512109,-64.9176753614992
9,-55.81651223250244,-72.68670217070876,-72.83463272553264,-61.7265839903306
12,-52.85598156294618,-70.15531378714151,-70.0484289836203,-59.12393597326493
15,-49.98911605424357,-66.90606602289294,-66.49763539384334,-56.176849681735355
18,-47.37959503007747,-64.83524170660628,-64.6567362519854,-53.54441151919224
21,-44.15968815003297,-61.17240833540309,-60.88229630784247,-50.21731951380069
24,-40.58912559557648,-58.71387513755421,-58.20754640047986,-46.656482657957284
27,-37.745762447135306,-54.68682361612241,-54.4206540407086,-43.88790976514294
30,-34.73137831802072,-52.14257974575713,-51.94375686706705,-41.13810729549766
