snr_dB,opt_db,zf_db,rzf_db
0,-63.64280232078065,-88.56260424512811,-87.60887002030881
3,-60.64280232415504,-85.56260422536737,-84.60887072990514
6,-57.64280237881009,-82.56260478163702,-81.60887136700225
9,-54.6428023929363,-79.562605312381,-78.60887369927339
12,-51.64280234127567,-76.56260769304777,-75.60887951939351
15,-48.64280236577866,-73.56261119785987,-72.60888850115258
18,-45.64280234258564,-70.56261821345835,-69.6089086424763
21,-42.642802351858265,-67.5626346263728,-66.60894793736213
24,-39.64280231231236,-64.56266479547989,-63.6090262358773
27,-36.6428023132702,-61.56272455627406,-60.609182682160906
30,-33.642802246127545,-58.56284651792202,-57.609439480542605
