snr_dB,opt_db,zf_db,rzf_db
0,7.41264318225372,-3.3237646433449264,-3.3235743735011276
3,10.50590400999994,-0.8730804169027885,-0.8728114523735708
6,13.42690757308408,0.7709508622441801,0.7711747528567459
9,16.551146096289493,1.7808819416589965,1.7812063548088832
12,19.509142199825614,3.0419827666093475,3.0425538991759367
15,22.39706326901496,3.4569924113331862,3.4573429014106556
18,25.367199802663258,3.4553263243579,3.4561663833555345
21,28.441154355893907,3.5191514719850643,3.519879942789464
24,31.47828475366169,3.7618151244141753,3.7627196445511
27,34.40620606038107,4.772337144980963,4.7734203923123495
30,37.42726932546438,4.046311407531384,4.046691255330608
