snr_dB,opt_db,zf_db,rzf_db
0,-69.64965676728758,-90.94831245522718,-91.03203711414497
3,-66.64965705984307,-87.94831267652253,-88.03203711875975
6,-63.64965729819181,-84.94831327213092,-85.03203745405713
9,-60.64965789158773,-81.94831356987558,-82.03203772189552
12,-57.64965788509504,-78.94831533309993,-79.0320394074327
15,-54.64965667854067,-75.94831699499628,-76.0320413974699
18,-51.64965703953505,-72.948322180948,-73.03204625403767
21,-48.64965722735786,-69.94833234006708,-70.03205540534498
24,-45.64965683806062,-66.94835132359763,-67.03207321010184
27,-42.649657014782385,-63.9483894232405,-64.03210830322428
30,-39.649657404947504,-60.94846648280558,-61.03322212625112
