epoch,loss_total,loss_sched,loss_beam,loss_power,mean_sum_rate,mean_user_rate,qos_user_ok_frac,mean_p_tot,mean_assign,mean_load
1.000000000000000000e+00,1.830354548124999972e+06,8.332345464825630099e-01,1.453681826591491699e+01,9.151695884374999441e+05,8.986325425000000745e+06,5.616453375000000233e+05,3.183203124999999800e-01,4.228612027168273890e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+00,4.252759958593749907e+05,7.202920624613762257e-01,9.119043638706207489e+00,2.126330783203124884e+05,8.158201402499999851e+06,5.098875885937500279e+05,6.270166015625000533e-01,1.284967370629310546e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+00,1.264929301464843738e+05,4.454837983846664518e-01,5.362776250839233150e+00,6.324356096191405959e+04,8.717916490000000224e+06,5.448697784375000047e+05,8.351025390624999822e-01,1.257531057000160324e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,1.038547721923828067e+04,1.727801010385155711e-01,3.761544222831726181e+00,5.190771453857421875e+03,9.042561679999999702e+06,5.651601059375000186e+05,9.731494140624999956e-01,1.333432466983795139e+00,1.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,2.607164419860839644e+03,1.144345198571681960e-01,3.518926976919173999e+00,1.301765526771545410e+03,9.174402160000000149e+06,5.734001409375000512e+05,9.909765624999999911e-01,1.327297097444534391e+00,1.000000000000000000e+00,2.000000000000000000e+00
6.000000000000000000e+00,1.115363707592487344e+03,9.056401539593934846e-02,3.429482762813568009e+00,5.559218300253897951e+02,9.260299285000000149e+06,5.787687025000000140e+05,9.956347656249999734e-01,1.315845292210578998e+00,1.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000000e+00,5.199790515947341873e+02,7.801690410822630095e-02,3.377935047149658310e+00,2.582615504417568673e+02,9.333422730000000447e+06,5.833389256250000326e+05,9.977587890625000400e-01,1.308308140039444067e+00,1.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000000e+00,3.400013606917858056e+02,7.213848592713474617e-02,3.345526785850525098e+00,1.682918480487167869e+02,9.376942320000000298e+06,5.860588934374999953e+05,9.984765625000000533e-01,1.300592260956764168e+00,1.000000000000000000e+00,2.000000000000000000e+00
9.000000000000000000e+00,2.334237806200981140e+02,6.885351510718465406e-02,3.321767427921295202e+00,1.150165797670185555e+02,9.419821664999999106e+06,5.887388581250000279e+05,9.988769531250000222e-01,1.293393710851669320e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000000e+01,1.469247152137756416e+02,6.150060858577489908e-02,3.302611469030380054e+00,7.178030166558920655e+01,9.450991660000000149e+06,5.906869784374999581e+05,9.992138671875000488e-01,1.290077025294303903e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.100000000000000000e+01,1.112297812378406547e+02,6.578199218958616368e-02,3.293912103176117157e+00,5.393504356414079837e+01,9.468792554999999702e+06,5.917995368749999907e+05,9.993945312499999956e-01,1.287956285476684615e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.200000000000000000e+01,1.009313028335571261e+02,5.952098218724131279e-02,3.279789631366729630e+00,4.879599582180380679e+01,9.503732435000000522e+06,5.939832790624999907e+05,9.994775390625000311e-01,1.287863922119140581e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.300000000000000000e+01,7.388407292723655928e+01,6.143364895135164372e-02,3.272340687513351387e+00,3.527514941215515165e+01,9.515541275000000373e+06,5.947213343749999767e+05,9.996093750000000222e-01,1.283766037225723355e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.400000000000000000e+01,7.694769175291061458e+01,5.852449573576450070e-02,3.261536082029342865e+00,3.681381541281938752e+01,9.531035814999999478e+06,5.956897384374999674e+05,9.995214843749999911e-01,1.282163153290748703e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.500000000000000000e+01,4.984365182757377966e+01,4.935988798737525607e-02,3.249012893438339322e+00,2.327263955026865005e+01,9.556589789999999106e+06,5.972868596875000512e+05,9.996582031249999778e-01,1.279619122743606674e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.600000000000000000e+01,5.602097751379012891e+01,6.059316514059900904e-02,3.247295002937316877e+00,2.635654471844434710e+01,9.559807470000000671e+06,5.974879653125000186e+05,9.997119140625000400e-01,1.279047929644584691e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.700000000000000000e+01,5.122828091025352393e+01,5.066647415980696928e-02,3.237232382297515976e+00,2.397019085980951658e+01,9.575915400000000373e+06,5.984947078124999534e+05,9.997412109375000133e-01,1.279146263003349215e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.800000000000000000e+01,4.699884813785553206e+01,5.724171467125415552e-02,3.232483139038086151e+00,2.185456172712147094e+01,9.589363400000000373e+06,5.993352096875000279e+05,9.997363281250000178e-01,1.278046476840972945e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.900000000000000000e+01,3.452100655555724984e+01,5.123584300279617615e-02,3.225967404842376762e+00,1.562190155915915923e+01,9.619895845000000671e+06,6.012434887500000186e+05,9.997851562499999734e-01,1.272721663713455298e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.000000000000000000e+01,2.781025477528572054e+01,4.570007937029003930e-02,3.222865016460418897e+00,1.227084482789039654e+01,9.621813810000000522e+06,6.013633675000000512e+05,9.998583984375000178e-01,1.270637089014053256e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.100000000000000000e+01,3.105321387767791919e+01,4.162451060488819854e-02,3.219477223157882761e+00,1.389605615943670358e+01,9.629267410000000149e+06,6.018292162500000559e+05,9.998583984375000178e-01,1.271460244655609140e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.200000000000000000e+01,2.396841472625732550e+01,4.186293667182326012e-02,3.214025398492813324e+00,1.035626315228640948e+01,9.648454585000000894e+06,6.030284062500000000e+05,9.998876953124999911e-01,1.271791529059410175e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.300000000000000000e+01,1.846055689811706557e+01,4.746655534952878841e-02,3.216175101995468300e+00,7.598457638695836458e+00,9.636282009999999776e+06,6.022676250000000000e+05,9.998681640625000089e-01,1.271136856079101651e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.400000000000000000e+01,1.687664290904998765e+01,4.843683857470750670e-02,3.211144505739211841e+00,6.808530790135264077e+00,9.669790255000000820e+06,6.043618871875000186e+05,9.999218749999999600e-01,1.269061831831931997e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.500000000000000000e+01,1.432776782155036877e+01,4.299815645441412704e-02,3.216306703090667796e+00,5.534231479838490841e+00,9.637773794999999925e+06,6.023608646875000559e+05,9.999267578124999556e-01,1.266821950078010461e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.600000000000000000e+01,1.336017396092414877e+01,5.004960179328918346e-02,3.212381818294525182e+00,5.048871244564652194e+00,9.662151470000000671e+06,6.038844690625000512e+05,9.999121093749999689e-01,1.267269933819770822e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.700000000000000000e+01,1.454048373937606797e+01,6.059247437864542091e-02,3.213778581619262553e+00,5.633056365102529384e+00,9.666939689999999478e+06,6.041837309375000186e+05,9.998974609374999822e-01,1.266590405106544415e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.800000000000000000e+01,1.538062993049621596e+01,7.055200103670358769e-02,3.215414928197860789e+00,6.047331420108675637e+00,9.661739414999999106e+06,6.038587149999999674e+05,9.999169921874999645e-01,1.263039475679397672e+00,1.000000000000000000e+00,2.000000000000000000e+00
2.900000000000000000e+01,2.142911743283271875e+01,5.636823218315839545e-02,3.209369198083877439e+00,9.081689943075179627e+00,9.680548074999999255e+06,6.050342615625000326e+05,9.998974609374999822e-01,1.263569601774215734e+00,1.000000000000000000e+00,2.000000000000000000e+00
3.000000000000000000e+01,1.724931387424469165e+01,7.546705193817615509e-02,3.208029644489288401e+00,6.982908585742116259e+00,9.688250394999999553e+06,6.055156537500000559e+05,9.998974609374999822e-01,1.263328152298927254e+00,1.000000000000000000e+00,2.000000000000000000e+00
